|Run	$Params	|Epoch	|Trial	$TrialName	#SSE	#AvgSSE	#Err	#CosDiff	"#EnviroFeatures_Act[2:0,0]<2:1,8>"	"#EnviroFeatures_Act[2:0,1]"	"#EnviroFeatures_Act[2:0,2]"	"#EnviroFeatures_Act[2:0,3]"	"#EnviroFeatures_Act[2:0,4]"	"#EnviroFeatures_Act[2:0,5]"	"#EnviroFeatures_Act[2:0,6]"	"#EnviroFeatures_Act[2:0,7]"	"#InteroState_Act[2:0,0]<2:1,8>"	"#InteroState_Act[2:0,1]"	"#InteroState_Act[2:0,2]"	"#InteroState_Act[2:0,3]"	"#InteroState_Act[2:0,4]"	"#InteroState_Act[2:0,5]"	"#InteroState_Act[2:0,6]"	"#InteroState_Act[2:0,7]"	"#MBApp_Act[2:0,0]<2:1,5>"	"#MBApp_Act[2:0,1]"	"#MBApp_Act[2:0,2]"	"#MBApp_Act[2:0,3]"	"#MBApp_Act[2:0,4]"	"#MBAv_Act[2:0,0]<2:1,3>"	"#MBAv_Act[2:0,1]"	"#MBAv_Act[2:0,2]"	"#Cost_Act[2:0,0]<2:1,16>"	"#Cost_Act[2:0,1]"	"#Cost_Act[2:0,2]"	"#Cost_Act[2:0,3]"	"#Cost_Act[2:0,4]"	"#Cost_Act[2:0,5]"	"#Cost_Act[2:0,6]"	"#Cost_Act[2:0,7]"	"#Cost_Act[2:0,8]"	"#Cost_Act[2:0,9]"	"#Cost_Act[2:0,10]"	"#Cost_Act[2:0,11]"	"#Cost_Act[2:0,12]"	"#Cost_Act[2:0,13]"	"#Cost_Act[2:0,14]"	"#Cost_Act[2:0,15]"	"#DyDA_Act[2:0,0]<2:1,1>"	"#Approach_Act[2:0,0]<2:1,5>"	"#Approach_Act[2:0,1]"	"#Approach_Act[2:0,2]"	"#Approach_Act[2:0,3]"	"#Approach_Act[2:0,4]"	"#Approach_ActM[2:0,0]<2:1,5>"	"#Approach_ActM[2:0,1]"	"#Approach_ActM[2:0,2]"	"#Approach_ActM[2:0,3]"	"#Approach_ActM[2:0,4]"	"#Avoidance_Act[2:0,0]<2:1,3>"	"#Avoidance_Act[2:0,1]"	"#Avoidance_Act[2:0,2]"	"#Avoidance_ActM[2:0,0]<2:1,3>"	"#Avoidance_ActM[2:0,1]"	"#Avoidance_ActM[2:0,2]"	"#Behavior_Act[2:0,0]<2:1,16>"	"#Behavior_Act[2:0,1]"	"#Behavior_Act[2:0,2]"	"#Behavior_Act[2:0,3]"	"#Behavior_Act[2:0,4]"	"#Behavior_Act[2:0,5]"	"#Behavior_Act[2:0,6]"	"#Behavior_Act[2:0,7]"	"#Behavior_Act[2:0,8]"	"#Behavior_Act[2:0,9]"	"#Behavior_Act[2:0,10]"	"#Behavior_Act[2:0,11]"	"#Behavior_Act[2:0,12]"	"#Behavior_Act[2:0,13]"	"#Behavior_Act[2:0,14]"	"#Behavior_Act[2:0,15]"	"#Behavior_ActM[2:0,0]<2:1,16>"	"#Behavior_ActM[2:0,1]"	"#Behavior_ActM[2:0,2]"	"#Behavior_ActM[2:0,3]"	"#Behavior_ActM[2:0,4]"	"#Behavior_ActM[2:0,5]"	"#Behavior_ActM[2:0,6]"	"#Behavior_ActM[2:0,7]"	"#Behavior_ActM[2:0,8]"	"#Behavior_ActM[2:0,9]"	"#Behavior_ActM[2:0,10]"	"#Behavior_ActM[2:0,11]"	"#Behavior_ActM[2:0,12]"	"#Behavior_ActM[2:0,13]"	"#Behavior_ActM[2:0,14]"	"#Behavior_ActM[2:0,15]"
0	Base	400	0		0.9876	0.06172	1	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	9.87E-17	3.69E-17	1.30E-16	2.79E-16	0	0	0	6.29E-08	4.08E-08	0.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-11	0.9938	0.0006016	3.09E-17	1.49E-15	0.008062	5.50E-12	1.57E-05	5.83E-19	0.0001309	5.35E-06	1.23E-17	1.42E-11	1.74E-07	9.31E-07	4.16E-13
0	Base	400	1		0.9867	0.06167	1	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-13	0.9038	2.70E-14	8.34E-16	2.70E-15	0	0	0	5.87E-06	0.0003893	1.91E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23E-07	3.76E-09	2.54E-12	0.9933	3.04E-09	1.39E-13	2.07E-15	2.77E-05	1.81E-09	1.23E-08	2.91E-09	1.16E-10	8.01E-10	1.63E-14	4.09E-09	6.03E-08
0	Base	400	2		0.9888	0.0618	1	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55E-15	1.04E-13	0.9265	8.32E-13	1.83E-13	0	0	0	0.01525	3.36E-07	2.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-18	0.03873	1.66E-13	5.93E-08	4.72E-13	0.9944	1.07E-18	6.13E-08	4.67E-11	8.04E-08	0.01564	4.61E-15	4.97E-07	3.87E-16	3.74E-07	1.43E-06
0	Base	400	3		0.9897	0.06185	1	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37E-14	4.01E-11	8.98E-14	0.9275	1.07E-12	0	0	0	0.05055	3.51E-09	7.56E-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-08	2.57E-11	1.95E-10	2.53E-12	1.98E-05	2.00E-07	1.00E-14	0.9948	2.52E-14	1.09E-06	0.007152	2.35E-17	2.66E-14	7.36E-09	8.55E-15	1.23E-07
0	Base	400	4		0.988	0.06175	1	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52E-13	4.96E-16	1.44E-19	6.81E-08	0.8922	0	0	0	1.05E-06	2.23E-12	0.1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47E-06	5.34E-07	1.52E-12	1.51E-10	1.76E-20	0.0005543	2.20E-13	2.16E-10	0.994	1.89E-10	9.15E-05	5.67E-14	1.89E-10	7.64E-10	8.71E-12	0.0001678
0	Base	400	5		0.9871	0.0617	1	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.1337	0.1282	0.158	0.149	0	0	0	0.9634	0.0002857	7.99E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02604	3.58E-20	3.51E-05	3.22E-08	2.30E-07	1.24E-12	2.05E-08	9.45E-10	5.91E-20	0.00267	3.25E-11	0.9935	0.013	1.19E-19	4.18E-13	1.19E-09
0	Base	400	6		0.9835	0.06147	1	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004094	0.5107	0.002449	3.69E-05	0.0001176	0	0	0	4.77E-06	0.9772	2.93E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002185	2.92E-12	1.61E-08	0.0002574	2.59E-08	2.82E-10	7.44E-13	1.76E-15	2.17E-17	2.65E-11	5.67E-13	5.88E-05	0.9917	5.94E-11	2.01E-07	1.89E-07
0	Base	400	7		0.9867	0.06167	1	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1459	0.1499	0.1488	0.1147	0.1074	0	0	0	1.25E-05	0.0001343	0.9683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-12	9.68E-07	2.38E-06	1.50E-09	1.10E-08	1.95E-14	3.18E-11	2.18E-09	9.17E-07	5.05E-05	8.67E-17	1.93E-08	2.95E-14	2.69E-08	5.77E-15	0.9933
0	Base	400	8		0.9876	0.06172	1	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.9	9.87E-17	3.69E-17	1.30E-16	2.79E-16	0	0	0	6.29E-08	4.08E-08	0.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-11	0.9938	0.0006016	3.09E-17	1.49E-15	0.008062	5.50E-12	1.57E-05	5.83E-19	0.0001309	5.35E-06	1.23E-17	1.42E-11	1.74E-07	9.31E-07	4.16E-13
0	Base	400	9		0.9867	0.06167	1	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	1.10E-13	0.9038	2.70E-14	8.34E-16	2.70E-15	0	0	0	5.87E-06	0.0003893	1.91E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23E-07	3.76E-09	2.54E-12	0.9933	3.04E-09	1.39E-13	2.07E-15	2.77E-05	1.81E-09	1.23E-08	2.91E-09	1.16E-10	8.01E-10	1.63E-14	4.09E-09	6.03E-08
0	Base	400	10		0.9888	0.0618	1	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	4.55E-15	1.04E-13	0.9265	8.32E-13	1.83E-13	0	0	0	0.01525	3.36E-07	2.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-18	0.03873	1.66E-13	5.93E-08	4.72E-13	0.9944	1.07E-18	6.13E-08	4.67E-11	8.04E-08	0.01564	4.61E-15	4.97E-07	3.87E-16	3.74E-07	1.43E-06
0	Base	400	11		0.9897	0.06185	1	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	2.37E-14	4.01E-11	8.98E-14	0.9275	1.07E-12	0	0	0	0.05055	3.51E-09	7.56E-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-08	2.57E-11	1.95E-10	2.53E-12	1.98E-05	2.00E-07	1.00E-14	0.9948	2.52E-14	1.09E-06	0.007152	2.35E-17	2.66E-14	7.36E-09	8.55E-15	1.23E-07
